id,name,neighbourhood_group_cleansed,neighbourhood_cleansed,room_type,price_num,availability_365,reviews_per_month,number_of_reviews,ghost_prob
1092581244045250600,Comfy Room at great location in Williamsburg,Brooklyn,Williamsburg,Private room,144,270,0.05,1,0.3332977188188067
760025165140763600,Cheerful 1 bedroom private home with your own bath,Bronx,Clason Point,Private room,52,363,0.03,1,0.33325069686296993
1049282302817004e3,24 Min to the city,Brooklyn,Crown Heights,Entire home/apt,230,335,0.35,1,0.3329673472813843
1244401509492552400,73-1120 XL New Studio UWS Doorman Gym,Manhattan,Upper West Side,Entire home/apt,233,361,0.11,1,0.33294407841065776
856530614801644800,78-4B Quality 1br  W&D in unit Skylight,Manhattan,Upper East Side,Entire home/apt,259,341,1,1,0.3329109853726664
30499109,"Fall in NYC the entire apt.in Brooklyn -2BDR,1BA",Brooklyn,Bushwick,Entire home/apt,162,90,0.01,1,0.33279650171399766
1273887750459954e3,Sleek Bright Private Room in Washington Heights,Manhattan,Washington Heights,Private room,79,327,0.34,1,0.3327903734649025
1080462560309052700,Riverbank I by Rove Travel | 1BR UWS Townhome,Manhattan,Upper West Side,Entire home/apt,275,337,0.09,1,0.3327895727257452
711445668309947800,Charming Furnished Private Home Share In Brooklyn,Brooklyn,East Flatbush,Private room,128,362,0.03,1,0.3327142961481085
913179089790807600,Long stays in NY 15 min to city!,Queens,Elmhurst,Entire home/apt,80,212,0.05,1,0.3326150792081382
15767741,Stunning Greenwich Village Studio with Amenities,Manhattan,West Village,Entire home/apt,306,336,0.01,1,0.3325003422076252
54164726,Entire Apartment Sweet Home Sweet in Flatbush,Brooklyn,Flatbush,Private room,145,364,0.04,1,0.33246173868690754
54230938,Lovely 3-Bedroom Rental in Upper West Manhattan,Manhattan,Upper West Side,Entire home/apt,258,332,0.03,1,0.3323294015818346
1298553614369114600,"Recently Renovated,2 BR/1Bath,Colombia University",Manhattan,Morningside Heights,Entire home/apt,234,306,0.12,1,0.3322287126110951
875225792794462700,"Bushwick Large New Room, Laundry, AC, Balcony #532",Brooklyn,Bushwick,Private room,50,364,0.16,1,0.33217463132179703
678851274729740800,Private Room in Manhattan NEW construction,Manhattan,Inwood,Private room,45,54,0.18,1,0.33216321495448003
957508595681132400,Bedstuy Haven,Brooklyn,Bedford-Stuyvesant,Entire home/apt,251,179,0.42,1,0.33208501644145527
986312342198208e3,Renovated Room 5min to 74st Express subway,Queens,Jackson Heights,Private room,42,31,0.88,1,0.33207016382259213
1441248396744148500,Nth. Wash/dry. Jtrain Gates Ave 5 min. More*,Brooklyn,Bedford-Stuyvesant,Private room,48,139,0.28,1,0.3320612074312512
1366276159114868700,Fort Greene Penthouse,Brooklyn,Fort Greene,Entire home/apt,350,360,0.2,1,0.33195996220683816
40889145,Apartment in Sunset Park Brooklyn 2 min from metro,Brooklyn,Sunset Park,Entire home/apt,206,269,0.01,1,0.3318049661795241
51265207,Cheerful 3 BR townhouse in Brooklyn.,Brooklyn,Bedford-Stuyvesant,Entire home/apt,250,155,0.02,1,0.33180496617952404
1464003269528884500,SoHo Designer 2BR with balcony,Manhattan,Little Italy,Entire home/apt,317,304,0.61,1,0.3317636526793707
1100586816839903e3,Private Bedroom-5min from 145st station W/Laundry,Manhattan,Harlem,Private room,57,57,0.3,1,0.33158667466885333
48111332,New HUGE room with 2 closets by Prospect Park #63,Brooklyn,Flatbush,Private room,39,365,0.02,1,0.33158196306493243
781851253728798700,"Cozy room in Astoria, 10 mins from Manhattan!",Queens,Long Island City,Private room,80,364,0.03,1,0.3315556056735254
1498165591187236e3,Luxury FullFloor 2BR in Boutique Chelsea Building,Manhattan,Chelsea,Entire home/apt,450,365,1,1,0.3312870221815094
